bookname,bookdetail,bookscore,bookscorenums,bookquote,bookimg
追风筝的人,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9,565276,为你，千千万万遍,https://img3.doubanio.com/view/subject/m/public/s1727290.jpg
解忧杂货店,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5,563795,一碗精心熬制的东野牌鸡汤，拒绝很难,https://img3.doubanio.com/view/subject/m/public/s27264181.jpg
小王子,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0,487033,献给长成了大人的孩子们,https://img3.doubanio.com/view/subject/m/public/s1103152.jpg
白夜行,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,9.1,421874,暗夜独行的残破灵魂，爱与恶本就难分难舍,https://img3.doubanio.com/view/subject/m/public/s4610502.jpg
活着,余华 / 作家出版社 / 2012-8-1 / 20.00元,9.4,367600,生的苦难与伟大,https://img3.doubanio.com/view/subject/m/public/s29053580.jpg
嫌疑人X的献身,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9,352311,数学好是一种极致的浪漫,https://img9.doubanio.com/view/subject/m/public/s3254244.jpg
三体,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,8.8,335579,你我不过都是虫子,https://img1.doubanio.com/view/subject/m/public/s2768378.jpg
围城,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9,328624,对于“人艰不拆”四个字最彻底的违抗,https://img3.doubanio.com/view/subject/m/public/s1070222.jpg
挪威的森林,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,8.0,299259,村上之发轫，多少人的青春启蒙,https://img3.doubanio.com/view/subject/m/public/s1228930.jpg
红楼梦,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,9.6,238712,谁解其中味？,https://img1.doubanio.com/view/subject/m/public/s1070959.jpg
百年孤独,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.2,245015,尼采所谓的永劫复归，一场无始无终的梦魇,https://img9.doubanio.com/view/subject/m/public/s6384944.jpg
看见,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8,239881,在这里看见中国,https://img3.doubanio.com/view/subject/m/public/s24468373.jpg
平凡的世界（全三部）,路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0,213679,中国当代城乡生活全景,https://img3.doubanio.com/view/subject/m/public/s1144911.jpg
三体Ⅱ,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,9.3,199868,无边的黑暗森林，比第一部更为恢弘壮丽,https://img3.doubanio.com/view/subject/m/public/s3078482.jpg
三体Ⅲ,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,9.2,194058,终章，何去何从,https://img9.doubanio.com/view/subject/m/public/s26012674.jpg
我们仨,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.7,201381,平淡，坚忍，温情,https://img3.doubanio.com/view/subject/m/public/s1015872.jpg
天才在左 疯子在右,高铭 / 武汉大学出版社 / 2010-2 / 29.80元,8.1,209302,简称“疯癫与文明”,https://img1.doubanio.com/view/subject/m/public/s6340977.jpg
